Session Title,Technology ,Technology Line,Product Name,Speakers,Speaker Specialization,date,timeam,timepm,location
From Pipeline in Peril to Sales Success: Besting PAN at De La Rue,Security,Infrastrucutre Security ,XDR,AJ Capelan,Security Evangelist,10/1/2023,6:00,13:00,room1
From Pipeline in Peril to Sales Success: Besting PAN at De La Rue, Competitive Intelligence,Customer Install Base,Palo Alto,Asyu Tse,Competitive Center Specialist,10/1/2023,6:00,13:00,room2
From Pipeline in Peril to Sales Success: Besting PAN at De La Rue,Security,Infrastrucutre Security ,Cisco Firepower Next-Generation Firewall,AJ Capelan,Security Evangelist,10/1/2023,6:00,13:00,room3
From Pipeline in Peril to Sales Success: Besting PAN at De La Rue,Enterprise Networking,Networking Hardware,Viptella,Mario Bermuda,Cloud Networking Architect,10/1/2023,6:00,13:00,room4
Power of the Platform: The Key to Retiring More RSW,Cloud Infrastructure,Data Center and Cloud,Nexus,Sarun Yu,Data Center Networking Expert,10/5/2023,10:00,17:00,room5
Power of the Platform: The Key to Retiring More RSW,Cloud Infrastructure,Software Management,Cisco ACI (Application Centric Infrastructure),Princess Cruz,Cloud Infrastructure Manager,10/5/2023,10:00,17:00,room6
Power of the Platform: The Key to Retiring More RSW,Recurring Softwares,Software Management,Nexus Dashboard,Princess Cruz,Cloud Infrastructure Manager,10/5/2023,10:00,17:00,room7
Power of the Platform: The Key to Retiring More RSW,Recurring Softwares,Software Management,Nexus Insights ,Princess Cruz,Cloud Infrastructure Manager,10/5/2023,10:00,17:00,room8
Compete to Win in the Margin: Edging Out Juniper/Mist at LaRoche,Competitive Intelligence,Customer Install Base,Juniper,Asyu Tse,Competitive Center Specialist,10/9/2023,7:00,19:00,room9
Compete to Win in the Margin: Edging Out Juniper/Mist at LaRoche,Cloud Infrastructure,Data Center and Cloud,Cisco Nexus Switches,Sarun Yu,Data Center Networking Expert,10/9/2023,7:00,19:00,room10
Compete to Win in the Margin: Edging Out Juniper/Mist at LaRoche,Enterprise Networking,Networking Hardware,Catalyst,JC Campo,Systems Engineer - Enterprise,10/9/2023,7:00,19:00,room11
Compete to Win in the Margin: Edging Out Juniper/Mist at LaRoche,Security,Network Security,Source Fire,AJ Capelan,Security Evangelist,10/9/2023,7:00,19:00,room12
Cut to the Chase and Bank Your RSW Quota with IoT Control Center,Mass Scale and Automation ,IoT (Internet of Things),Third party,Robin Carlos,Emerging Technology Architect,10/13/2023,11:00,16:00,room13
Cut to the Chase and Bank Your RSW Quota with IoT Control Center,Cloud Infrastructure,Data Center and Cloud,Cisco UCS Servers,Maine Hernandez,Cloud Compute Expert,10/13/2023,11:00,16:00,room14
Cut to the Chase and Bank Your RSW Quota with IoT Control Center,Recurring Softwares,Data Center and Cloud,Cisco Intersight,Rod James,Cloud Infrastructure SE,10/13/2023,11:00,16:00,room15
Software Unleashed: Crush Quota with AI-powered Customer Engagement,Hybrid Work,Collaboration and Communication,Deskpro,Bong Calyan,Collaboration Expert,10/16/2023,7:00,15:00,room16
Software Unleashed: Crush Quota with AI-powered Customer Engagement,Cloud Infrastructure,Data Center and Cloud,Cisco UCS Servers,Maine Hernandez,Cloud Compute Expert,10/16/2023,7:00,15:00,room17
Software Unleashed: Crush Quota with AI-powered Customer Engagement,Recurring Softwares,Data Center and Cloud,Cisco Intersight,Rod James,Cloud Infrastructure SE,10/16/2023,7:00,15:00,room18
Styled for Success: The Multicloud Makeover Your Customers Deserve,Recurring Softwares,Data Center and Cloud,Cisco Intersight,Rod James,Cloud Infrastructure SE,10/19/2023,10:00,13:00,room19
Styled for Success: The Multicloud Makeover Your Customers Deserve,Security,Network Security,Source Fire,AJ Capelan,Security Evangelist,10/19/2023,10:00,13:00,room20
Styled for Success: The Multicloud Makeover Your Customers Deserve,Cloud Infrastructure,Software Management,Cisco ACI (Application Centric Infrastructure),Princess Cruz,Cloud Infrastructure Manager,10/19/2023,10:00,13:00,room21
Styled for Success: The Multicloud Makeover Your Customers Deserve,Recurring Softwares,Software Management,Nexus Dashboard,Princess Cruz,Cloud Infrastructure Manager,10/19/2023,10:00,13:00,room22
Styled for Success: The Multicloud Makeover Your Customers Deserve,Cloud Infrastructure,Software Management,Nexus Insights ,Princess Cruz,Cloud Infrastructure Manager,10/19/2023,10:00,13:00,room23
Styled for Success: The Multicloud Makeover Your Customers Deserve,Recurring Softwares,Software Management,App Dynamics,Princess Cruz,Cloud Infrastructure Manager,10/19/2023,10:00,13:00,room24
Styled for Success: The Multicloud Makeover Your Customers Deserve,Recurring Softwares,Software Management,Thousand Eyes,Princess Cruz,Cloud Infrastructure Manager,10/19/2023,10:00,13:00,room25
Styled for Success: The Multicloud Makeover Your Customers Deserve,Enterprise Networking,Networking Hardware,Viptella,Mario Bermuda,Cloud Networking Architect,10/19/2023,10:00,13:00,room26
Navigating the Future: Next-Generation Technologies in Cisco’s Modern Data Center,Cloud Infrastructure,Data Center and Cloud,Cisco HyperFlex,Maine Hernandez,Cloud Compute Expert,10/27/2023,11:00,21:00,room27
Navigating the Future: Next-Generation Technologies in Cisco’s Modern Data Center,Cloud Infrastructure,Data Center and Cloud,Cisco UCS Servers,Maine Hernandez,Cloud Compute Expert,10/27/2023,11:00,21:00,room28
Navigating the Future: Next-Generation Technologies in Cisco’s Modern Data Center,Recurring Softwares,Data Center and Cloud,Cisco Intersight,Rod James,Cloud Infrastructure SE,10/27/2023,11:00,21:00,room29
Navigating the Future: Next-Generation Technologies in Cisco’s Modern Data Center,Cloud Infrastructure,Data Center and Cloud,Cisco Nexus Switches,Sarun Yu,Data Center Networking Expert,10/27/2023,11:00,21:00,room30
Navigating the Future: Next-Generation Technologies in Cisco’s Modern Data Center,Cloud Infrastructure,Software Management,Cisco ACI (Application Centric Infrastructure),Princess Cruz,Cloud Infrastructure Manager,10/27/2023,11:00,21:00,room31
Fortifying the Frontlines: Advanced Security Solutions with Cisco Firepower,Security,Infrastrucutre Security ,Cisco Firepower Next-Generation Firewall,AJ Capelan,Security Evangelist,11/1/2023,9:00,17:00,room32
Fortifying the Frontlines: Advanced Security Solutions with Cisco Firepower,Security,Endpoint Security ,Cisco AMP (Advanced Malware Protection),Bryan Ortiz,Security Solutions Architect,11/1/2023,9:00,17:00,room33
Fortifying the Frontlines: Advanced Security Solutions with Cisco Firepower,Security,Endpoint Security ,Cisco Threat Response,Bryan Ortiz,Security Solutions Architect,11/1/2023,9:00,17:00,room34
Bridging Worlds: Cisco’s Pioneering Approach to IoT and Industrial Connectivity,Enterprise Networking,Networking Hardware,Cisco Industrial Ethernet Switches,JC Campo,Systems Engineer - Enterprise,11/4/2023,12:00,20:00,room35
Bridging Worlds: Cisco’s Pioneering Approach to IoT and Industrial Connectivity,Mass Scale and Automation ,IoT (Internet of Things),Cisco IoT Gateways,Robin Carlos,Emerging Technology Architect,11/4/2023,12:00,20:00,room36
Bridging Worlds: Cisco’s Pioneering Approach to IoT and Industrial Connectivity,Enterprise Networking,Networking Hardware,Cisco Industrial Routers,JC Campo,Systems Engineer - Enterprise,11/4/2023,12:00,20:00,room37
Bridging Worlds: Cisco’s Pioneering Approach to IoT and Industrial Connectivity,Mass Scale and Automation ,IoT (Internet of Things),Cisco Kinetic,Robin Carlos,Emerging Technology Architect,11/4/2023,12:00,20:00,room38
Unified Shield: Integrating Cisco’s Security Solutions for Holistic Protection,Security,Endpoint Security ,Cisco SecureX,AJ Capelan,Security Evangelist,11/8/2023,12:00,20:00,room39
Unified Shield: Integrating Cisco’s Security Solutions for Holistic Protection,Security,Endpoint Security ,Cisco SecureX,AJ Capelan,Security Evangelist,11/8/2023,12:00,20:00,room40
